TF,TF1_TF2_count,TF1_count,TF2_count,cosine,zscore,helper
WRKY60,43,171,140,0.277911413,18.6676587,0
ERF095,160,166,2006,0.277268463,14.67661019,0
ERF109,193,1068,455,0.276863678,12.59800535,0
ERF5,169,200,1872,0.27619689,19.72233362,0
ERF069,203,1189,455,0.275993855,13.07315181,0
MYB57,68,222,274,0.275712937,18.68713198,0
ERF039,137,146,1697,0.27523472,17.1073169,0
NAC047,86,393,249,0.274917574,17.16184687,0
WRKY45,63,395,133,0.274862936,18.39151308,0
MYB83,189,674,704,0.274375625,14.98331195,0
NAC062,27,287,34,0.273327518,20.53997979,0
ERF023,262,773,1189,0.273288034,11.78881605,0
ERF073,100,808,166,0.273048802,16.37583355,0
NAC019,72,256,272,0.272852578,14.54760017,0
ERF003,222,2245,295,0.272793359,11.98168232,0
MYB46,48,74,419,0.272595302,22.73872891,0
ERF054,101,689,200,0.272080092,16.11181904,0
ERF014,231,360,2006,0.271828673,14.35624162,0
MYB10,47,138,220,0.269741007,21.2886365,0
ERF038,271,481,2103,0.269449335,10.59960048,0
ERF5,173,200,2077,0.268418755,16.02083642,0
WRKY42,81,1190,77,0.267587718,19.16576948,0
ERF012,217,295,2240,0.266946798,13.99866394,0
ERF008,108,455,360,0.266849754,14.5998515,0
MYB3R5,70,261,264,0.266671021,16.78375166,0
RAV1,187,1191,413,0.266631036,13.82192656,0
ERF008,79,455,193,0.266589315,18.01032049,0
ERF025,22,62,110,0.266397714,18.16479564,0
ERF023,242,773,1068,0.266342206,10.32733813,0
ERF008,174,455,940,0.266060022,12.27392883,0
ERF043,56,272,163,0.265955988,18.28365476,0
MYB118,61,202,261,0.265664727,18.13075338,0
MYB41,75,389,205,0.265588663,15.50764615,0
ERF014,218,360,1872,0.265553678,12.58301536,0
ERF012,197,295,1872,0.265095464,13.02607841,0
ERF10,496,1872,1872,0.264957265,24.81766875,0
MYB93,142,419,686,0.264861769,14.86207366,0
ERF118,121,1432,146,0.264628999,15.65598034,0
MYB51,107,711,230,0.264597087,12.01042985,0
WRKY71,27,33,316,0.264401097,18.14134258,0
MYB51,102,711,210,0.2639707,13.00301962,0
